Title,Price,Images:,City,State,Zip,Phone,Email,Description,CategoryId,isPrimary,activeIs
White hp pavilion laptop touchscreen,"$7,500 ",https://phoenix.craigslist.org/wvl/tls/d/launch-tech-creader/6314578112.html,Casa Grande,AZ,624952,568-895-1619,me1@you.com,Will his arcade compact the cold?,5,TRUE,.
p225/65r17 tires,$25 ,https://phoenix.craigslist.org/nph/fuo/d/queen-mattress-box-spring/6314574158.html,Maricopa,AZ,624952,568-895-1620,me1@you.com,The breakdown rocks?,6,TRUE,.
SOLAR HOT WATER HEAT HEATING POOL  COLLECTOR SYSTEM,$40 ,https://phoenix.craigslist.org/wvl/for/d/selling-brand-new-sectional/6295228832.html,Sierra Vista,AZ,624952,568-895-1621,me1@you.com,A taxi advertises into the analogue.,7,TRUE,.
Queen Pillow Top Mattress and Box Spring,$150 ,https://phoenix.craigslist.org/wvl/for/d/brand-new-bunk-bed-with/6297468147.html,Oro Valley,AZ,624952,568-895-1622,me1@you.com,A more postage strikes a bandwagon.,8,TRUE,.
Blue Point Cart,$300 ,https://phoenix.craigslist.org/evl/cto/d/1993-jeep-cherokee-rock/6314577987.html,Prescott,AZ,624952,568-895-1623,me1@you.com,When will the predicted keeper riot within the reluctance?,9,TRUE,.
Toddler Shoes size 3,"$22,900 ",https://phoenix.craigslist.org/wvl/mpo/d/2x-shoei-qwest-full-fascial/6284840033.html,Tubac,AZ,624952,568-895-1624,me1@you.com,A gentleman punts past a level metaphor.,10,TRUE,.
Power Tools. Hand tools.,$200 ,https://phoenix.craigslist.org/evl/bab/d/toddler-shoes-size-8/6314575096.html,Gilbert,AZ,624952,568-895-1625,me1@you.com,The stomach understands the mysterious purge.,11,TRUE,.
Line6 Sonic Port VX,$625 ,https://phoenix.craigslist.org/evl/bab/d/toddler-shoes-size-4/6314575506.html,Oro Valley,AZ,624952,568-895-1626,me1@you.com,An incorporate creep arrives beside the clique.,12,TRUE,.
1993 jeep Cherokee ROCK CRAWLER BUGGY,"$3,000 ",https://phoenix.craigslist.org/evl/hsh/d/wusthof-knife-block/6303001121.html,Litchfield Park,AZ,624952,568-895-1627,me1@you.com,My exempt motto lodges the emptied civilian.,13,TRUE,.
$14.95 SQ FT Buy Direct From Local Manufacturer! Shutters,$14 ,https://phoenix.craigslist.org/nph/fuo/d/brown-wooden-headboard/6283837078.html,Cave Creek,AZ,624952,568-895-1628,me1@you.com,A vicious blanket stops.,14,TRUE,.
Moving Sale- 7am to 11am--  Lots of furniture--Nice stuff,$40 ,https://phoenix.craigslist.org/wvl/cto/d/1959-pontiac-bonneville/6294683647.html,Carefree,AZ,624952,568-895-1629,me1@you.com,Will his arcade compact the cold?,15,TRUE,.
Treadmill,$14 ,https://phoenix.craigslist.org/wvl/cto/d/2006-honda-pilot-4x4-ex/6309062789.html,Scottsdale,AZ,624952,568-895-1630,me1@you.com,The breakdown rocks?,16,TRUE,.
Hanging Rack for Pots and Pans,$120 ,https://phoenix.craigslist.org/wvl/for/d/selling-brand-new-sectional/6299805627.html,Queen Creek,AZ,624952,568-895-1631,me1@you.com,A taxi advertises into the analogue.,17,TRUE,.
12 ft. trampoline in very good condition.(used),$25 ,https://phoenix.craigslist.org/evl/fuo/d/oak-tv-amoire-with-3-drawers/6314578612.html,Fountain Hills,AZ,624952,568-895-1632,me1@you.com,A more postage strikes a bandwagon.,18,TRUE,.
1993 jeep Cherokee ROCK CRAWLER BUGGY,$60 ,https://phoenix.craigslist.org/evl/clt/d/beer-or-soda-pitcher-heavy/6281732706.html,Tombstone,AZ,624952,568-895-1633,me1@you.com,When will the predicted keeper riot within the reluctance?,19,TRUE,.
Arizona Cardinals vs Dallas Cowboys Tickets,$300 ,https://phoenix.craigslist.org/evl/fuo/d/4-piece-oak-tv-entertainemnt/6314577796.html,Chandler,AZ,624952,568-895-1634,me1@you.com,A gentleman punts past a level metaphor.,20,TRUE,.
Queen Sleep Sofa,$425 ,https://phoenix.craigslist.org/wvl/atq/d/vintage-metal-kitchen-cabinets/6289689308.html,Sonoita,AZ,624952,568-895-1635,me1@you.com,The stomach understands the mysterious purge.,21,TRUE,.
Harley-Davidson T-Shirts,$4 ,https://phoenix.craigslist.org/evl/ele/d/new-yamaha-ns-ic400-pair-in/6314565425.html,Prescott,AZ,624952,568-895-1636,me1@you.com,An incorporate creep arrives beside the clique.,22,TRUE,.
Studiologic SL990 Pro 88 Key MIDI Controller Keyboard w/ Case & Cover,$125 ,https://phoenix.craigslist.org/nph/tls/d/milwaukee-rapid-charger/6299790653.html,Paradise Valley,AZ,624952,568-895-1637,me1@you.com,My exempt motto lodges the emptied civilian.,23,TRUE,.
4 piece oak TV entertainemnt center,"$3,000 ",https://phoenix.craigslist.org/wvl/fuo/d/shabby-and-very-chic-entry/6297495016.html,Bagdad,AZ,624952,568-895-1638,me1@you.com,A vicious blanket stops.,24,TRUE,.
Beer or Soda Pitcher-Heavy Glass,"$6,900 ",https://phoenix.craigslist.org/evl/fuo/d/dining-table/6314578636.html,Surprise,AZ,624952,568-895-1639,me1@you.com,Will his arcade compact the cold?,25,TRUE,.
Selling brand new sectional,$200 ,https://phoenix.craigslist.org/evl/cto/d/05-toyota-corolla-400/6314576931.html,Goodyear,AZ,624952,568-895-1640,me1@you.com,The breakdown rocks?,26,TRUE,.
Wusthof knife block,$500 ,https://phoenix.craigslist.org/nph/fuo/d/love-seat/6281509781.html,Snowflake,AZ,624952,568-895-1641,me1@you.com,A taxi advertises into the analogue.,27,TRUE,.
SONY Smart TV 42inches,"$12,200 ",https://phoenix.craigslist.org/nph/fuo/d/queen-sleep-sofa/6281500639.html,Corona de Tucson,AZ,624952,568-895-1642,me1@you.com,A more postage strikes a bandwagon.,28,TRUE,.
Brown Wooden Nightstand,"$7,500 ",https://phoenix.craigslist.org/wvl/fuo/d/awesome-sectional-for-sale/6299747134.html,Peoria,AZ,624952,568-895-1643,me1@you.com,When will the predicted keeper riot within the reluctance?,29,TRUE,.
2014 Dodge Dart GT,$400 ,https://phoenix.craigslist.org/nph/fuo/d/table-set/6283690693.html,Thatcher,AZ,624952,568-895-1644,me1@you.com,A gentleman punts past a level metaphor.,30,TRUE,.
Extension Ladder,"$1,200 ",https://phoenix.craigslist.org/wvl/fuo/d/kimball-dining-room-table-and/6306948203.html,St. David,AZ,624952,568-895-1645,me1@you.com,The stomach understands the mysterious purge.,31,TRUE,.
oak tv amoire with 3 drawers,$395 ,https://phoenix.craigslist.org/nph/mat/d/bbqs-fireplaces-stucco-tile/6314578147.html,Anthem,AZ,624952,568-895-1646,me1@you.com,An incorporate creep arrives beside the clique.,32,TRUE,.
91 banshee,"$3,000 ",https://phoenix.craigslist.org/evl/tld/d/extension-ladder/6314574942.html,Congress,AZ,624952,568-895-1647,me1@you.com,My exempt motto lodges the emptied civilian.,33,TRUE,.
LG stainless fridge,$35 ,https://phoenix.craigslist.org/nph/vgm/d/ps4-1tb/6314577317.html,Phoenix,AZ,624952,568-895-1648,me1@you.com,A vicious blanket stops.,34,TRUE,.
Bread Knife,$60 ,https://phoenix.craigslist.org/evl/app/d/lg-stainless-fridge/6314577075.html,Tucson,AZ,624952,568-895-1649,me1@you.com,Will his arcade compact the cold?,35,TRUE,.
Velodyne CHT 8 Subwoofer,$250 ,https://phoenix.craigslist.org/evl/fuo/d/glass-top-table/6314579155.html,Mesa,AZ,624952,568-895-1650,me1@you.com,The breakdown rocks?,36,TRUE,.
Perritos poodle,$395 ,https://phoenix.craigslist.org/wvl/sys/d/workstation-and-gaming/6314578620.html,Chandler,AZ,624952,568-895-1651,me1@you.com,A taxi advertises into the analogue.,37,TRUE,.
1965 station wagon side glass,$395 ,https://phoenix.craigslist.org/evl/bik/d/bike-boards/6314577463.html,Glendale,AZ,624952,568-895-1652,me1@you.com,A more postage strikes a bandwagon.,38,TRUE,.
Brown and red rug,$225 ,https://phoenix.craigslist.org/evl/hab/d/adult-small-diapers/6300374432.html,Scottsdale,AZ,624952,568-895-1653,me1@you.com,When will the predicted keeper riot within the reluctance?,39,TRUE,.
Massage Table,"$1,950 ",https://phoenix.craigslist.org/nph/hab/d/massage-table/6299728136.html,Gilbert,AZ,624952,568-895-1654,me1@you.com,A gentleman punts past a level metaphor.,1,TRUE,.
Toddler Shoes size 4,$500 ,https://phoenix.craigslist.org/wvl/cto/d/2008-nissan-armada-se/6308778014.html,Tempe,AZ,624952,568-895-1655,me1@you.com,The stomach understands the mysterious purge.,2,TRUE,.
Ryobi lithium 24v battery charger,$329 ,https://phoenix.craigslist.org/nph/app/d/solar-hot-water-heat-heating/6282081451.html,Peoria,AZ,624952,568-895-1656,me1@you.com,An incorporate creep arrives beside the clique.,3,TRUE,.
Decoration Pots,"$5,000 ",https://phoenix.craigslist.org/wvl/for/d/selling-brand-new-sectional/6280250124.html,Surprise,AZ,624952,568-895-1657,me1@you.com,My exempt motto lodges the emptied civilian.,4,TRUE,.
RED Digital Cinema Scarlet-X Camera Full Package Rental  Music Videos,$125 ,https://phoenix.craigslist.org/nph/tls/d/blue-point-cart/6314574517.html,Yuma,AZ,624952,568-895-1658,me1@you.com,A vicious blanket stops.,5,TRUE,.
wheel chair quickie 2 foot rests lightweight removable arm rests,$15 ,https://phoenix.craigslist.org/wvl/for/d/queen-pillow-top-mattress-and/6297468340.html,San Tan Valley,AZ,624952,568-895-1659,me1@you.com,Will his arcade compact the cold?,6,TRUE,.
engine2O1OChevyEquinox-cjgug-$2000,$20 ,https://phoenix.craigslist.org/wvl/fuo/d/mid-century-desk/6308679185.html,Avondale,AZ,624952,568-895-1660,me1@you.com,The breakdown rocks?,7,TRUE,.
Toddler Shoes - size 8,"$1,300 ",https://phoenix.craigslist.org/nph/grd/d/fire-wood-for-sale/6311139021.html,Goodyear,AZ,624952,568-895-1661,me1@you.com,A taxi advertises into the analogue.,8,TRUE,.
FORMAL DINING ROOM TABLE WITH EXTENSION & PAD 4 CHAIRS,"$18,500 ",https://phoenix.craigslist.org/nph/tix/d/arizona-cardinals-vs-dallas/6314575215.html,Casas Adobes,AZ,624952,568-895-1662,me1@you.com,A more postage strikes a bandwagon.,9,TRUE,.
Selling brand new sectional,$675 ,https://phoenix.craigslist.org/nph/fuo/d/brown-wooden-8-drawer-dresser/6283841970.html,Flagstaff,AZ,624952,568-895-1663,me1@you.com,When will the predicted keeper riot within the reluctance?,10,TRUE,.
2006 Honda Pilot 4X4 EX-L,$395 ,https://phoenix.craigslist.org/cph/cto/d/engine2o1ochevyequinox-cjgug/6314562123.html,Buckeye,AZ,624952,568-895-1664,me1@you.com,A gentleman punts past a level metaphor.,11,TRUE,.
1959 Pontiac Bonneville,$100 ,https://phoenix.craigslist.org/cph/wan/d/az-top-buyer-iphone-7-and-6/6314482165.html,Lake Havasu City,AZ,624952,568-895-1665,me1@you.com,The stomach understands the mysterious purge.,12,TRUE,.
"BBQ'S, FIREPLACES, STUCCO, TILE, ETC.......... (everywhere)",$40 ,https://phoenix.craigslist.org/evl/sys/d/white-hp-pavilion-laptop/6314577519.html,Catalina Foothills,AZ,624952,568-895-1666,me1@you.com,An incorporate creep arrives beside the clique.,13,TRUE,.
USED GOLF CART TIRES 18 X 8.50 X 8,$500 ,https://phoenix.craigslist.org/evl/clt/d/cool-beer-pitcher-heavy-glass/6310621216.html,Casa Grande,AZ,624952,568-895-1667,me1@you.com,My exempt motto lodges the emptied civilian.,14,TRUE,.
Love seat,"$4,000 ",https://phoenix.craigslist.org/wvl/snw/d/91-banshee/6304411890.html,Maricopa,AZ,624952,568-895-1668,me1@you.com,A vicious blanket stops.,15,TRUE,.
Mid century desk,"$2,500 ",https://phoenix.craigslist.org/evl/msg/d/studiologic-sl990-pro-88-key/6308074229.html,Sierra Vista,AZ,624952,568-895-1669,me1@you.com,Will his arcade compact the cold?,16,TRUE,.
Selling brand new sectional,"$3,000 ",https://phoenix.craigslist.org/evl/fuo/d/end-wood-tables/6314574607.html,Oro Valley,AZ,624952,568-895-1670,me1@you.com,The breakdown rocks?,17,TRUE,.
Vintage metal kitchen cabinets,$750 ,https://phoenix.craigslist.org/wvl/bab/d/moby-wraps/6314575273.html,Prescott,AZ,624952,568-895-1671,me1@you.com,A taxi advertises into the analogue.,18,TRUE,.
PS4 1tb,"$9,800 ",https://phoenix.craigslist.org/wvl/cto/d/chevy-flat-bed-truck/6314576433.html,Tubac,AZ,624952,568-895-1672,me1@you.com,A more postage strikes a bandwagon.,19,TRUE,.
2012 Dodge Ram 1500,"$4,200 ",https://phoenix.craigslist.org/evl/bab/d/toddler-shoes-size-3/6314575826.html,Gilbert,AZ,624952,568-895-1673,me1@you.com,When will the predicted keeper riot within the reluctance?,20,TRUE,.
Kimball Dining Room Table and 6 Chairs,"$22,000 ",https://phoenix.craigslist.org/evl/bab/d/toddler-shoes-size-6/6314574495.html,Oro Valley,AZ,624952,568-895-1674,me1@you.com,A gentleman punts past a level metaphor.,21,TRUE,.
SOLAR POOL HEATING COLLECTOR PANEL HELIOCOL FAFCO  INSTALLED,$150 ,https://phoenix.craigslist.org/wvl/for/d/used-golf-cart-tires/6301823579.html,Litchfield Park,AZ,624952,568-895-1675,me1@you.com,The stomach understands the mysterious purge.,22,TRUE,.
91 banshee,$25 ,https://phoenix.craigslist.org/wvl/for/d/perritos-poodle/6314577806.html,Cave Creek,AZ,624952,568-895-1676,me1@you.com,An incorporate creep arrives beside the clique.,23,TRUE,.
$14.95 SQ FT Buy Direct From Local Manufacturer! Shutters,$40 ,https://phoenix.craigslist.org/evl/hab/d/treadmill/6314576764.html,Carefree,AZ,624952,568-895-1677,me1@you.com,My exempt motto lodges the emptied civilian.,24,TRUE,.
multi media speakers harman/kardon with box and manuel,$500 ,https://phoenix.craigslist.org/wvl/bik/d/snap-on-big-tire-bicycle/6306899169.html,Scottsdale,AZ,624952,568-895-1678,me1@you.com,A vicious blanket stops.,25,TRUE,.
Queen Pillow Top Mattress and Box Spring,$700 ,https://phoenix.craigslist.org/wvl/for/d/selling-brand-new-sectional/6295230715.html,Queen Creek,AZ,624952,568-895-1679,me1@you.com,Will his arcade compact the cold?,26,TRUE,.
1993 jeep Cherokee ROCK CRAWLER BUGGY,$35 ,https://phoenix.craigslist.org/evl/wto/d/p225-65r17-tires/6298797501.html,Fountain Hills,AZ,624952,568-895-1680,me1@you.com,The breakdown rocks?,27,TRUE,.
"NEW Yamaha NS-IC400 (Pair) In-Ceiling 4"" SPEAKERS 5 IN STOCK!!!",$149 ,https://phoenix.craigslist.org/nph/cto/d/2005-gmc-2500/6314577432.html,Tombstone,AZ,624952,568-895-1681,me1@you.com,A taxi advertises into the analogue.,28,TRUE,.
Glass top table,$9 ,https://phoenix.craigslist.org/wvl/tls/d/diagnostic-workstation/6300640843.html,Chandler,AZ,624952,568-895-1682,me1@you.com,A more postage strikes a bandwagon.,29,TRUE,.
Cardinals cowboys NFL lower level tickets,$525 ,https://phoenix.craigslist.org/evl/clo/d/black-leather-rhinestone-belt/6297987858.html,Sonoita,AZ,624952,568-895-1683,me1@you.com,When will the predicted keeper riot within the reluctance?,30,TRUE,.
Workstation and Gaming computer,$400 ,https://phoenix.craigslist.org/evl/cto/d/2006-ford-350-short-bed/6314579038.html,Prescott,AZ,624952,568-895-1684,me1@you.com,A gentleman punts past a level metaphor.,31,TRUE,.
Moby wraps,$395 ,https://phoenix.craigslist.org/wvl/gms/d/moving-sale-7am-to-11am-lots/6309852826.html,Paradise Valley,AZ,624952,568-895-1685,me1@you.com,The stomach understands the mysterious purge.,32,TRUE,.
Selling brand new sectional,"$9,800 ",https://phoenix.craigslist.org/evl/tag/d/cranium-bible-edition/6303160719.html,Bagdad,AZ,624952,568-895-1686,me1@you.com,An incorporate creep arrives beside the clique.,33,TRUE,.
Brand New Bunk Bed With Mattresses,"$4,200 ",https://phoenix.craigslist.org/nph/hsh/d/decoration-pots/6314576318.html,Surprise,AZ,624952,568-895-1687,me1@you.com,My exempt motto lodges the emptied civilian.,34,TRUE,.
Bike & Boards,"$22,000 ",https://phoenix.craigslist.org/evl/for/d/1495-sq-ft-buy-direct-from/6286530536.html,Goodyear,AZ,624952,568-895-1688,me1@you.com,A vicious blanket stops.,35,TRUE,.
$14.95 SQ FT Buy Direct From Local Manufacturer! Shutters,$150 ,https://phoenix.craigslist.org/nph/hsh/d/new-cabinets-kitchen-bathroom/6314564890.html,Snowflake,AZ,624952,568-895-1689,me1@you.com,Will his arcade compact the cold?,36,TRUE,.
Wood Pallets For Sale!,$25 ,https://phoenix.craigslist.org/wvl/for/d/selling-brand-new-sectional/6297470065.html,Corona de Tucson,AZ,624952,568-895-1690,me1@you.com,The breakdown rocks?,37,TRUE,.
BEWARE:  farmhouse table,$40 ,https://phoenix.craigslist.org/nph/grd/d/beware-farmhouse-table/6290227003.html,Peoria,AZ,624952,568-895-1691,me1@you.com,A taxi advertises into the analogue.,38,TRUE,.
A100/108,$500 ,https://phoenix.craigslist.org/evl/hsh/d/bread-knife/6290711472.html,Thatcher,AZ,624952,568-895-1692,me1@you.com,A more postage strikes a bandwagon.,39,TRUE,.
Kohler Generator,$700 ,https://phoenix.craigslist.org/wvl/cto/d/2000-chevy-silverado-lt/6310294121.html,St. David,AZ,624952,568-895-1693,me1@you.com,When will the predicted keeper riot within the reluctance?,1,TRUE,.
Chevy Flat Bed Truck,$35 ,https://phoenix.craigslist.org/wvl/pts/d/1965-station-wagon-side-glass/6292131322.html,Anthem,AZ,624952,568-895-1694,me1@you.com,A gentleman punts past a level metaphor.,2,TRUE,.
Toddler Shoes size 6,$149 ,https://phoenix.craigslist.org/wvl/fuo/d/brown-and-red-rug/6300645057.html,Congress,AZ,624952,568-895-1695,me1@you.com,The stomach understands the mysterious purge.,3,TRUE,.
